adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000004904-09-000117	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 13:32:00.0	0	0	aep-20090630.xml	1	
0000007332-09-000030	7332	SOUTHWESTERN ENERGY CO	1311	US	TX	HOUSTON	77032	2350 N. SAM HOUSTON PARKWAY EAST	SUITE 125	2816184700	US	TX	HOUSTON	77032	2350 N. SAM HOUSTON PARKWAY EAST	SUITE 125	US	DE	710205415	ARKANSAS WESTERN GAS CO	19790917	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090820	2009-08-20 16:05:00.0	0	0	swn-20090630.xml	1	
0000016868-09-000037	16868	CANADIAN NATIONAL RAILWAY CO	4011	CA	QC	CANADA	H3B 2M9	935 DE LA GAUCHETIERE ST W	MONTREAL QUEBEC	5143996569	CA	QC	CANADA H3B 2M9	00000	935 DE LA GAUCHETIERE ST WEST	MONTREAL QUEBEC	CA	QC	980018609			1-LAF	1	1231	6-K	20090630	2009	Q2	20090724	2009-07-23 19:16:00.0	0	0	cni-20090630.xml	1	
0000018230-09-000331	18230	CATERPILLAR INC	3531	US	IL	PEORIA	61629	100 NE ADAMS ST		3096751000	US	IL	PEORIA	61629	100 NE ADAMS ST		US	DE	370602744	CATERPILLAR TRACTOR CO	19860623	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090812	2009-08-12 12:23:00.0	0	0	cat-20090630.xml	1	
0000023082-09-000045	23082	COMPUTER SCIENCES CORP	7373	US	VA	FALLS CHURCH	22042	3170 FAIRVIEW PARK DRIVE		7038761000	US	VA	FALLS CHURCH	22042	3170 FAIRVIEW PARK DRIVE		US	NV	952043126			1-LAF	1	0331	10-Q	20090630	2009	Q1	20090807	2009-08-06 19:14:00.0	0	0	csc-20090703.xml	1	
0000024741-09-000027	24741	CORNING INC /NY	3357	US	NY	CORNING	14831	ONE RIVERFRONT PLAZA		6079749000	US	NY	CORNING	14831	ONE RIVERFRONT PLAZA		US	NY	160393470	CORNING GLASS WORKS	19890512	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 16:03:00.0	0	0	glw-20090630.xml	1	
0000029915-09-000044	29915	DOW CHEMICAL CO /DE/	2821	US	MI	MIDLAND	48674-2030	2030 DOW CENTER		989-636-1000	US	MI	MIDLAND	48674-2030	2030 DOW CENTER		US	DE	381285128			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 13:01:00.0	0	0	dow-20090630.xml	1	
0000037748-09-000037	37748	MASSEY ENERGY CO	1221	US	VA	RICHMOND	23219	4 NORTH 4TH STREET		9493492000	US	VA	RICHMOND	23219	4 NORTH 4TH STREET		US	DE	950740960	FLUOR CORP/DE/	19920703	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090811	2009-08-11 15:34:00.0	0	0	mee-20090630.xml	1	
0000038074-09-000041	38074	FOREST LABORATORIES INC	2834	US	NY	NEW YORK	10022	909 THIRD AVENUE		(212)421-785	US	NY	NEW YORK	10022	909 THIRD AVENUE		US	DE	111798614			1-LAF	1	0331	10-Q	20090630	2009	Q1	20090810	2009-08-10 14:31:00.0	0	0	frx-20090630.xml	1	
0000040545-09-000049	40545	GENERAL ELECTRIC CO	3600	US	CT	FAIRFIELD	06828	3135 EASTON TURNPIKE	W3F	203-373-2211	US	CT	FAIRFIELD	06828	3135 EASTON TURNPIKE	W3F	US	NY	140689340			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 09:58:00.0	0	0	ge-20090630.xml	1	
0000045012-09-000273	45012	HALLIBURTON CO	1389	US	TX	HOUSTON	77010	1401MCKINNEY	1401 MCKINNEY	7137592600	US	TX	HOUSTON	77010	1401 MCKINNEY	1401 MCKINNEY	US	DE	752677995	HALLIBURTON OIL WELL CEMENTING CO	19660911	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090730	2009-07-30 11:18:00.0	0	0	hal-20090630.xml	1	
0000047111-09-000038	47111	HERSHEY CO	2060	US	PA	HERSHEY	17033-0810	100 CRYSTAL A DRIVE	P O BOX 810-EXTERNAL RPTG & COMPLIANCE	7175344200	US	PA	HERSHEY	17033-0810	P O BOX 810-EXTERNAL RPTG & COMPLIANCE	100 CRYSTAL A DRIVE	US	DE	230691590	HERSHEY FOODS CORP	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090813	2009-08-13 07:12:00.0	0	0	hsy-20090705.xml	1	
0000049826-09-000066	49826	ILLINOIS TOOL WORKS INC	3560	US	IL	GLENVIEW	60025-5811	3600 W LAKE AVE		8476574106	US	IL	GLENVIEW	60025-5811	3600 WEST LAKE AVENUE		US	DE	361258310			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 16:54:00.0	0	0	itw-20090630.xml	1	
0000055785-09-000026	55785	KIMBERLY CLARK CORP	2670	US	TX	IRVING	75038	351 PHELPS DRIVE		9722811200	US	TX	DALLAS	75261-9100	P O BOX 619100	DFW AIRPORT STATION	US	DE	390394230			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 14:48:00.0	0	0	kmb-20090630.xml	1	
0000059558-09-000113	59558	LINCOLN NATIONAL CORP	6311	US	PA	RADNOR	19087	150 N RADNOR CHESTER RD		4845831475	US	PA	RADNOR	19087	150 N RADNOR CHESTER RD		US	IN	351140070			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 15:55:00.0	0	0	lnc-20090630.xml	1	
0000060086-09-000039	60086	LOEWS CORP	6331	US	NY	NEW YORK	10065-8087	667 MADISON AVE		212-521-2000	US	NY	NEW YORK	10065-8087	667 MADISON AVE		US	DE	132646102			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090806	2009-08-06 15:37:00.0	0	0	l-20090630.xml	1	
0000060667-09-000096	60667	LOWES COMPANIES INC	5211	US	NC	MOORESVILLE	28117	1000 LOWE'S BLVD.		7047581000	US	NC	MOORESVILLE	28115	P.O. BOX 1000		US	NC	560578072			1-LAF	1	0131	10-Q	20090731	2009	Q2	20090901	2009-09-01 17:09:00.0	0	0	low-20090731.xml	1	
